,STATE,ST_CASE,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,WEATHER,DRUNK_DR
260,Alabama,10262,125,0,24,5,2015,Sunday,20,30,Cloudy,1
261,Alabama,10263,131,0,25,5,2015,Monday,11,40,Rain,0
262,Alabama,10264,113,2440,20,5,2015,Wednesday,22,7,Clear,0
263,Alabama,10265,15,2370,27,5,2015,Wednesday,5,25,Cloudy,0
264,Alabama,10266,97,690,26,5,2015,Tuesday,14,15,Clear,0
265,Alabama,10267,73,350,25,5,2015,Monday,15,5,Cloudy,0
266,Alabama,10268,3,1493,27,5,2015,Wednesday,9,0,Cloudy,0
267,Alabama,10269,77,0,28,5,2015,Thursday,18,5,Clear,0
268,Alabama,10270,89,1730,29,5,2015,Friday,20,17,Cloudy,1
269,Alabama,10271,9,2811,29,5,2015,Friday,22,16,Clear,0
270,Alabama,10272,73,350,31,5,2015,Sunday,18,48,Cloudy,1
271,Alabama,10273,77,0,30,5,2015,Saturday,17,40,Clear,0
272,Alabama,10274,79,0,31,5,2015,Sunday,19,0,Clear,0
273,Alabama,10275,81,0,24,5,2015,Sunday,14,0,Clear,1
274,Alabama,10276,113,0,24,5,2015,Sunday,19,42,Clear,1
275,Alabama,10277,77,0,3,6,2015,Wednesday,17,25,Clear,0
276,Alabama,10278,89,1730,4,6,2015,Thursday,3,29,Cloudy,0
277,Alabama,10279,115,0,11,6,2015,Thursday,13,21,Rain,0
278,Alabama,10280,97,2716,15,6,2015,Monday,21,52,Clear,1
279,Alabama,10281,115,0,16,6,2015,Tuesday,9,25,Clear,0
280,Alabama,10282,3,1210,28,4,2015,Tuesday,20,10,Cloudy,0
281,Alabama,10283,97,0,23,5,2015,Saturday,5,0,Clear,1
282,Alabama,10284,43,0,28,5,2015,Thursday,12,30,Clear,0
283,Alabama,10285,105,0,28,5,2015,Thursday,15,30,Cloudy,0
284,Alabama,10286,115,2410,30,5,2015,Saturday,14,36,Clear,0
285,Alabama,10287,67,10,1,6,2015,Monday,7,10,Fog/Smog/Smoke,0
286,Alabama,10288,11,0,30,5,2015,Saturday,19,50,Clear,0
287,Alabama,10289,103,1130,2,6,2015,Tuesday,21,10,Clear,0
288,Alabama,10290,115,0,3,6,2015,Wednesday,16,23,Clear,0
289,Alabama,10291,125,0,3,6,2015,Wednesday,23,50,Clear,0
290,Alabama,10292,33,2190,5,6,2015,Friday,3,28,Clear,0
291,Alabama,10293,71,2850,6,6,2015,Saturday,19,32,Clear,0
292,Alabama,10294,95,0,8,6,2015,Monday,0,25,Clear,0
293,Alabama,10295,101,2130,8,6,2015,Monday,5,20,Unknown,0
294,Alabama,10296,125,0,9,6,2015,Tuesday,19,10,Cloudy,1
295,Alabama,10297,109,0,10,6,2015,Wednesday,12,40,Rain,0
296,Alabama,10298,69,930,11,6,2015,Thursday,15,57,Cloudy,0
297,Alabama,10299,51,0,12,6,2015,Friday,18,45,Rain,1
298,Alabama,10300,101,2130,14,6,2015,Sunday,2,55,Clear,0
299,Alabama,10301,97,2713,12,6,2015,Friday,1,15,Cloudy,1
300,Alabama,10302,43,0,16,6,2015,Tuesday,2,10,Clear,1
301,Alabama,10303,13,1460,14,6,2015,Sunday,2,23,Clear,2
302,Alabama,10304,97,2100,6,6,2015,Saturday,20,30,Cloudy,1
303,Alabama,10305,43,0,19,6,2015,Friday,16,9,Clear,0
304,Alabama,10306,43,9997,21,6,2015,Sunday,15,7,Clear,0
