,ST_CASE,HOUR,MINUTE,TIME
8982,130332,10,23,623
8983,130333,15,53,953
8984,130334,11,54,714
8985,130335,14,0,840
8986,130336,14,25,865
8987,130337,21,20,1280
8988,130338,14,34,874
8989,130339,7,38,458
8990,130340,18,0,1080
8991,130341,15,44,944
8992,130342,9,19,559
8993,130343,8,12,492
8994,130344,3,30,210
8995,130345,12,57,777
8996,130346,20,45,1245
8997,130347,13,30,810
8998,130348,7,24,444
8999,130349,22,25,1345
9000,130350,23,1,1381
9001,130351,2,12,132
9002,130352,4,10,250
9003,130353,17,46,1066
9004,130354,12,25,745
9005,130355,18,0,1080
9006,130356,9,41,581
9007,130357,12,2,722
9008,130358,14,10,850
9009,130359,11,50,710
9010,130360,12,5,725
9011,130361,19,29,1169
9012,130362,12,51,771
9013,130363,18,0,1080
9014,130364,0,23,23
9015,130365,5,47,347
9016,130366,22,34,1354
9017,130367,21,11,1271
9018,130368,7,20,440
9019,130369,4,47,287
9020,130370,15,0,900
9021,130371,22,12,1332
9022,130372,16,4,964
9023,130373,21,8,1268
9024,130374,16,4,964
9025,130375,19,39,1179
9026,130376,4,37,277
9027,130377,1,55,115
9028,130378,1,1,61
9029,130379,0,25,25
9030,130380,12,56,776
9031,130381,23,45,1425
9032,130382,4,43,283
9033,130383,9,39,579
9034,130384,15,12,912
9035,130385,5,50,350
9036,130386,21,0,1260
9037,130387,16,42,1002
9038,130388,17,35,1055
9039,130389,5,24,324
9040,130390,18,23,1103
9041,130391,5,26,326
9042,130392,3,19,199
9043,130393,1,54,114
9044,130394,0,16,16
9045,130395,0,2,2
9046,130396,17,55,1075
9047,130397,20,36,1236
9048,130398,21,50,1310
9049,130399,20,4,1204
9050,130400,21,34,1294
9051,130401,20,57,1257
9052,130402,2,59,179
9053,130403,19,39,1179
9054,130404,4,20,260
9055,130405,20,44,1244
9056,130406,12,0,720
9057,130407,16,38,998
9058,130408,23,21,1401
9059,130409,12,8,728
9060,130410,22,8,1328
9061,130411,14,9,849
9062,130412,17,47,1067
9063,130413,4,0,240
9064,130414,19,36,1176
9065,130415,18,28,1108
9066,130416,7,55,475
9067,130417,19,32,1172
9068,130418,14,8,848
9069,130419,19,40,1180
9070,130420,12,17,737
9071,130421,8,11,491
9072,130422,1,9,69
9073,130423,0,33,33
9074,130424,5,0,300
9075,130425,17,20,1040
9076,130426,23,50,1430
9077,130427,15,0,900
9078,130428,20,38,1238
9079,130430,2,34,154
9080,130431,19,25,1165
9081,130432,14,25,865
9082,130433,0,55,55
9083,130434,3,21,201
9084,130435,20,46,1246
9085,130436,7,14,434
9086,130437,13,35,815
9087,130439,5,57,357
9088,130440,8,0,480
9089,130441,17,55,1075
9090,130442,16,29,989
9091,130443,17,46,1066
9092,130444,8,23,503
9093,130445,18,23,1103
9094,130446,18,59,1139
9095,130447,13,4,784
9096,130448,19,53,1193
9097,130449,16,52,1012
9098,130450,10,30,630
9099,130451,6,42,402
9100,130452,17,40,1060
9101,130453,19,1,1141
9102,130454,15,10,910
9103,130455,18,11,1091
9104,130456,21,8,1268
9105,130457,16,20,980
9106,130458,6,3,363
9107,130459,14,33,873
9108,130460,9,26,566
9109,130461,19,23,1163
9110,130462,16,48,1008
9111,130463,19,3,1143
9112,130464,12,58,778
9113,130465,21,24,1284
9114,130466,10,31,631
9115,130467,21,53,1313
9116,130468,11,31,691
9117,130469,10,19,619
9118,130470,22,21,1341
9119,130471,12,42,762
9120,130472,18,0,1080
9121,130473,13,2,782
9122,130474,4,41,281
9123,130475,0,2,2
9124,130476,20,2,1202
9125,130477,5,15,315
9126,130478,99,99,6039
9127,130479,14,22,862
9128,130480,13,45,825
9129,130481,16,2,962
9130,130482,5,7,307
9131,130483,15,46,946
9132,130484,21,54,1314
9133,130485,21,51,1311
9134,130486,7,30,450
9135,130487,0,29,29
9136,130488,21,25,1285
9137,130489,20,49,1249
9138,130490,20,39,1239
9139,130491,19,0,1140
9140,130492,19,3,1143
9141,130493,11,9,669
9142,130494,18,24,1104
9143,130495,13,45,825
9144,130496,5,23,323
9145,130497,7,43,463
9146,130498,0,30,30
9147,130499,4,22,262
9148,130500,9,10,550
9149,130501,15,8,908
9150,130502,10,3,603
9151,130503,3,45,225
9152,130504,15,9,909
9153,130505,22,27,1347
9154,130506,19,5,1145
9155,130507,17,31,1051
9156,130508,0,40,40
9157,130509,15,25,925
9158,130510,14,19,859
9159,130511,16,49,1009
9160,130512,6,0,360
9161,130513,7,5,425
9162,130514,11,27,687
9163,130515,17,33,1053
9164,130516,16,10,970
9165,130517,20,4,1204
9166,130518,10,27,627
9167,130519,4,0,240
9168,130520,21,59,1319
9169,130521,12,15,735
9170,130522,23,4,1384
9171,130523,7,31,451
9172,130524,5,45,345
9173,130525,0,0,0
9174,130526,9,40,580
9175,130527,4,44,284
9176,130528,5,45,345
9177,130529,20,28,1228
9178,130530,17,36,1056
9179,130531,18,19,1099
9180,130532,14,8,848
9181,130533,15,25,925
9182,130534,6,18,378
9183,130535,17,54,1074
9184,130536,5,17,317
9185,130537,11,10,670
9186,130538,15,8,908
9187,130539,1,59,119
9188,130540,7,54,474
9189,130541,18,8,1088
9190,130542,13,24,804
9191,130543,14,25,865
9192,130544,11,35,695
9193,130545,15,6,906
9194,130546,21,6,1266
9195,130547,10,55,655
9196,130548,15,14,914
9197,130549,1,50,110
9198,130550,22,37,1357
9199,130551,15,3,903
9200,130552,1,0,60
9201,130553,21,31,1291
9202,130554,23,36,1416
9203,130555,12,55,775
9204,130556,16,43,1003
9205,130557,8,17,497
9206,130558,8,58,538
9207,130559,16,9,969
9208,130560,12,25,745
9209,130561,19,48,1188
9210,130562,9,20,560
9211,130563,9,30,570
9212,130564,4,50,290
9213,130565,18,47,1127
9214,130566,11,2,662
9215,130567,5,14,314
9216,130568,0,12,12
9217,130569,3,20,200
9218,130570,7,11,431
9219,130571,15,36,936
9220,130572,15,20,920
9221,130573,11,8,668
9222,130574,21,57,1317
9223,130575,10,25,625
9224,130576,23,1,1381
9225,130577,19,40,1180
9226,130578,18,55,1135
9227,130579,22,51,1371
9228,130580,15,28,928
9229,130581,18,38,1118
9230,130582,3,0,180
9231,130583,21,33,1293
9232,130584,7,22,442
9233,130585,20,50,1250
9234,130586,9,42,582
9235,130587,16,45,1005
9236,130588,20,51,1251
9237,130589,22,0,1320
9238,130590,20,22,1222
9239,130591,10,52,652
9240,130592,3,35,215
9241,130593,11,38,698
9242,130594,11,18,678
9243,130595,15,50,950
9244,130596,9,43,583
9245,130597,14,35,875
9246,130598,23,15,1395
9247,130599,23,0,1380
9248,130600,16,48,1008
9249,130601,6,22,382
9250,130602,5,3,303
9251,130603,23,7,1387
9252,130604,15,40,940
9253,130605,8,35,515
9254,130606,18,52,1132
9255,130607,2,30,150
9256,130608,15,13,913
9257,130609,16,34,994
9258,130610,20,19,1219
9259,130611,5,24,324
9260,130612,21,30,1290
9261,130613,16,37,997
